Area,Length,Structural Usage,Unconnected Height,Volume,Assembly Code,Width
70.81530497,35200.0,0,4000.0,14.15578778,11,200
32.04669109,12195.15904,0,4000.0,6.252329377000001,11,200
67.75495440000002,34741.51071,0,3938.0,13.39565427,11,200
128.52208000000002,71851.7899,0,3155.0,25.704416000000002,11,200
42.9709,17800.0,0,4000.0,8.59418,11,200
85.58019389,42139.03507,0,4000.0,17.08532966,11,200
37.10825009,18464.34846,0,4000.0,7.41324168,11,200
43.1809,18400.0,0,4000.0,8.63618,11,200
6.24695,3000.0,0,4000.0,1.24939,11,200
72.1515,29800.0,0,4000.0,14.4303,11,200
80.35657925,39087.81718,0,4062.0,16.06277718,11,200
2.8,500.0,0,4000.0,0.56,11,200
27.8434,11800.0,0,4000.0,5.5686800000000005,11,200
68.35174387,34586.604869999996,0,4000.0,13.66029586,11,200
1.5941578,359.8195288,0,4000.0,0.278069524,11,200
27.35476,17800.0,0,3460.0,5.470952,11,200
168.7546499,42139.03507,0,4000.0,33.72022086,11,200
28.39891386,18464.34846,0,4000.0,5.6713744329999995,11,200
27.35476,18400.0,0,3460.0,5.470952,11,200
4.49108,3000.0,0,3460.0,0.898216,11,200
59.0115,29800.0,0,4000.0,11.8023,11,200
61.28605709,39087.81718,0,4000.0,12.24880308,11,200
2.8,500.0,0,4000.0,0.56,11,200
22.5874,11800.0,0,4000.0,4.51748,11,200
138.4171566,34586.604869999996,0,4000.0,27.673378399999997,11,200
1.5941578,359.8195288,0,4000.0,0.278069524,11,200
29.106459,15280.0,0,4700.0,5.8212918,11,200
75.92126907,41659.03507,0,4700.0,15.1481706,11,200
5.6683,2500.0,0,4700.0,1.1336600000000001,11,200
40.99564872,33864.34846,0,3780.0,8.191183864,11,200
52.980298600000005,29800.0,0,4700.0,10.59605972,11,200
49.369736200000006,39087.81718,0,3780.0,9.866001359,11,200
1.0255,500.0,0,4700.0,0.2051,11,200
19.8766,11800.0,0,4700.0,3.975319999,11,200
48.56895396,34586.604869999996,0,3780.0,9.704290789,11,200
