Area,Base Constraint,Length,Structural Usage,Unconnected Height,Volume,Assembly Code,Width
24.4679,6. sal,8170,0,3070,4.89358,11,200
9.824,6. sal,3000,0,3070,1.9648,11,200
22.9609,6. sal,8170,0,3070,4.59218,11,200
9.21,6. sal,3000,0,3070,1.842,11,200
2.6166,4. sal,500,0,3738,0.52332,11,200
3.711661185,Stuen,867.3508397,0,5480,0.730812813,11,200
1.82742,Stuen,1140,0,1603,0.365484,11,200
17.01,6. sal,3942,0,4500,3.402,11,200
14.33141954,6. sal,4620,0,3170.668039,2.866283907,11,200
17.8265,Kælder,5925,0,3700,3.5653,11,200
14.04,Kælder,3947.5,1,3900,2.808,11,200
25.83670564,Stuen,13433.18517,0,2680,5.140030564,11,200
22.168,Kælder,7100.122051,1,3400,4.4336,11,200
0,Stuen,1770,0,2285,0,11,200
6.857544877,1. sal,1471.508975,0,5000,1.371508975,11,200
42.1773766,Kælder,12306.22825,1,3300,12.36176532,11,300
76.7442306,Kælder,14330.04351,1,5300,23.02326918,11,300
164.7990408,Kælder,34732.81147,1,4720,48.94132104,11,300
128.9974842,Kælder,37146.8101,1,3499.494354,38.68269374,11,300
333.6224727,Kælder,71921.8101,1,4700,100.0645123,11,300
202.5453828,Kælder,46036.99609,1,4760,60.68139116,11,300
14.43888382,Kælder,6723.868646,1,3300,7.104754767,11,495
34.92602115,Kælder,10878.28442,1,3360,17.13036591,11,495
45.04493761,Kælder,12664.18522,1,3760,22.06253275,11,495
37.8673,Stuen,8452.5,1,5060,18.7443135,11,495
185.5352263,Stuen,36972.26623,1,5460,91.57503072,11,495
12.84262884,Stuen,1965.448202,1,5000,6.158923328,11,495
23.1495,Kælder,6917.5,1,3300,11.4590025,11,495
9.9,Kælder,3147.5,1,3300,4.9005,11,495
6.047023667,Kælder,1682.704568,1,3400,2.781037711,11,495
1.37354736,Kælder,1552.5,1,2900,0.679905943,11,495
39.44615296,Kælder,11850,1,3700,19.129532,11,495
0.976992516,Stuen,2233.264069,1,2880,0.446526738,11,495
21.13907658,Mezzanin,8453.264069,1,2600,10.43036379,11,495
59.6784,Kælder,19237.5,1,3360,29.540808,11,495
11.0066,Stuen,6120,0,2580,5.448267,11,495
20.3445,Kælder,5917.5,1,3300,10.0705275,11,495
30.07868476,Kælder,9818.341549,1,3360,14.7309344,11,495
20.5632,Kælder,6270,1,3360,10.178784,11,495
17.0562,Kælder,6417.5,1,3360,8.442819,11,495
130.3445351,PLAN 02,30050.99999,0,4383,26.06890703,11,200
131.713533,PLAN 02,30050.99999,0,4383,26.34270659,11,200
160.9300753,PLAN 02,37039.99962,0,4383,32.10360556,11,200
118.1575988,PLAN 03,37039.99962,0,3190,23.62673475,11,200
94.31392179,PLAN 03,30050.99999,0,3190,18.86278436,11,200
118.1575988,PLAN 03,37039.99962,0,3190,23.62673475,11,200
160.7925753,PLAN 02,37039.99962,0,4383,32.15851506,11,200
2.469236606,Stuen,2304.092637,0,810,0.588118065,124,260
11.9839536,Stuen,28402,0,410,3.345483138,124,260
1.31561,Stuen,2421,0,410,0.295633811,124,260
7.70506279,Stuen,9397.78748,0,605,1.95899242,124,290
2.688756436,Stuen,3439.725846,0,605,0.675588112,124,290
4.904708785,Stuen,4877.791549,0,825,1.320094813,124,320
5.431261,Stuen,6193,0,677,1.52744152,124,320
9.379881277,Stuen,9170.04027,0,825,2.692886239,124,320
44.764226,Stuen,43718,0,825,12.84523216,124,320
4.747687925,Stuen,11999.52649,0,205,1.120688804,124,320
6.884230407,Stuen,7718,0,692,1.94054173,124,320
12.60265783,Stuen,15260.76732,0,625,3.513433511,124,320
0.816329382,Stuen,1306.127011,0,425,0.216817084,124,320
9.35559,Stuen,15000,0,425,2.4868944,124,320
0.783347048,Stuen,1282,0,525,0.230459528,124,320
1.075,Stuen,1720,0,425,0.28552,124,320
0.7810003,Stuen,1280,0,425,0.209440218,124,320
5.250558856,Stuen,6364.313765,0,625,1.463792166,124,320
8.591445206,Stuen,10413.87298,0,625,2.395190785,124,320
7.133979049,Stuen,7667.730338,0,810,2.021447676,124,320
10.6736359,Stuen,9951.125678,0,810,3.232685937,124,345
10.56465,PLAN 02,2550,1,4143,3.169395,202,300
7.5756,PLAN 01,1620,1,6313,2.27268,202,300
51.35739484,PLAN 01,10975.00001,1,6313,15.40721845,202,300
34.76046004,PLAN 02,9290.000009,1,4383,18.23330806,211,540
11.12541001,PLAN 02,8765.000009,1,4383,6.007721404,211,540
32.03835,PLAN 02,7050,1,4533,16.44668889,211,540
82.63659,PLAN 02,17690,1,4533,43.44162481,211,540
42.49305,PLAN 02,10320,1,4533,22.90051603,211,540
143.15637,PLAN 02,38520,1,4533,77.04403127,211,540
69.79220001,PLAN 02,24620.00001,1,4533,37.55699669,211,540
92.86984499,PLAN 02,38189.99999,1,4133,49.5478458,211,540
87.3732,PLAN 02,28800,1,4133,46.84713103,211,540
25.48890004,PLAN 02,7200.000009,1,4533,13.68950651,211,540
132.54435,PLAN 02,37620,1,4533,71.17440633,211,540
53.70075,PLAN 02,14180,1,4533,28.86513103,211,540
50.63714869,PLAN 02,14279.99971,1,4533,27.18256949,211,540
43.75248,PLAN 02,15810,1,3983,24.87748285,211,540
34.98588,PLAN 02,10680,1,4383,18.21664725,211,540
64.13047537,PLAN 02,15905.00008,1,4383,33.68864255,211,540
51.47467537,PLAN 02,15805.00008,1,4383,26.14756277,211,540
136.20333,PLAN 03,40950.00001,1,4533,73.05455339,211,540
41.15895,PLAN 03,9610,1,3873,20.5560219,211,540
35.41524,PLAN 03,8600,1,3873,17.74957007,211,540
78.50244907,PLAN 03,21309.99979,1,4533,42.27578159,211,540
38.40825,PLAN 03,10320,1,4533,20.65657137,211,540
142.13517,PLAN 03,38520,1,4533,76.55129755,211,540
99.61227533,PLAN 03,31900.00001,1,4533,53.50073304,211,540
46.3878,PLAN 03,12870,1,4383,24.3127486,211,540
12.6819,PLAN 03,13860,1,915,5.319828,211,540
116.25048,PLAN 03,37630,1,4533,62.23534238,211,540
47.21478,PLAN 02,14910,1,4383,23.8675108,211,540
46.45293,PLAN 03,14010,1,4533,26.4795976,211,540
53.16435,PLAN 03,14280,1,4533,29.33665833,211,540
38.50053,PLAN 03,14280,1,4533,22.46965513,211,540
53.918475,PLAN 03,15905,1,4533,28.92360357,211,540
48.18423,PLAN 03,14910,1,4533,25.82770693,211,540
47.38585537,PLAN 03,15905.00008,1,4533,25.35715847,211,540
93.95277,PLAN 04,26490,1,4533,50.38900623,211,540
39.42915,PLAN 04,10050,1,4533,21.22567724,211,540
18.83880115,PLAN 04,4170.000205,1,5616,10.14094359,211,540
89.36364526,PLAN 04,34290,1,4533,52.38229961,211,540
45.79449,PLAN 04,12400,1,4533,24.63080653,211,540
61.05034801,PLAN 04,16519.79932,1,3863,30.07057131,211,540
10.19925,PLAN 04,2250,1,3863,5.1370986,211,540
