,FireRating,Area,Structural,Unconnected_Height,Volume,Width
1532,3,0.7386655789790687,0.0,0.6783919597989949,0.7449994459397667,0.5778894472361809
2163,5,0.46025385920895506,0.0,0.542713567839196,0.43019264640084287,0.28391959798994976
381,3,0.8060703308333086,0.0,0.542713567839196,0.8022717208493004,0.5778894472361809
1408,0,0.5519483724861451,0.0,0.3869346733668342,0.4246844315617357,0.18592964824120603
1624,3,0.761966181019962,0.0,0.8115577889447236,0.7657283959911795,0.5778894472361809
1082,3,0.5214448897485624,0.0,0.9623115577889447,0.5628315429955293,0.5778894472361809
235,3,0.6492647358610676,0.0,0.8115577889447236,0.6356087112778459,0.3592964824120603
1014,3,0.6067745789735757,0.0,0.44472361809045224,0.6223235405116153,0.5778894472361809
2680,3,0.3121183676193611,0.0,0.3693467336683417,0.3853820739267527,0.5778894472361809
3961,5,0.13978021729045423,0.0,0.20408943092314077,0.035697119339871776,0.0
2741,3,0.87085906819705,0.0,0.8115577889447236,0.8508357565824732,0.5778894472361809
1287,0,0.38084413641626175,0.0,0.3869346733668342,0.29951197052264333,0.18592964824120603
1432,0,0.4715290636946308,0.0,0.3869346733668342,0.3652214934100992,0.18592964824120603
3148,5,0.11088348776703691,0.0,0.31658291457286436,0.03113745961199561,0.06532663316582915
771,5,0.9706026742672241,1.0,0.8115577889447236,0.9455635876974005,0.8542713567839196
2369,3,0.4367502308139681,0.0,0.3693467336683417,0.4874270501182148,0.5778894472361809
388,3,0.8203372383962604,0.0,0.8115577889447236,0.8124830738267651,0.5778894472361809
3743,3,0.6549875047171007,0.0,0.542713567839196,0.6652491252620854,0.5778894472361809
1602,5,0.7932753938692927,0.0,0.31658291457286436,0.34162879559040893,0.06532663316582915
3339,3,0.27754837785502723,0.0,0.542713567839196,0.36169728906269955,0.5778894472361809
2553,3,0.6102006120806007,0.0,0.3693467336683417,0.6259662376849625,0.5778894472361809
2311,2,0.14070356154310928,0.0,0.05778894472361809,0.21856642695341197,0.31658291457286436
3909,0,0.29326550764080267,0.0,0.1758793969849246,0.18365356107862424,0.12060301507537688
3626,5,0.06315172674916503,0.0,0.05778894472361809,0.012740294332652427,0.0
3241,5,0.7413475710006121,0.0,0.19913965682812446,0.5113463085899482,0.15577889447236182
2831,5,0.009865501340152029,0.0,0.21105527638190955,0.010135343328548395,0.12060301507537688
1617,5,0.37927326720577276,0.0,0.31658291457286436,0.1195974146069494,0.06532663316582915
2360,3,0.5483525109170074,0.0,0.3693467336683417,0.5787865921310831,0.5778894472361809
3922,0,0.3975727286188854,0.0,0.1758793969849246,0.2434359657084765,0.12060301507537688
76,3,0.8658805166064133,0.0,0.8115577889447236,0.8463683084998118,0.5778894472361809
2639,3,0.855113144137152,0.0,0.8115577889447236,0.8312967975767648,0.5778894472361809
1071,3,0.8383946511387378,0.0,0.8115577889447236,0.8244184538122257,0.5778894472361809
648,3,0.795307180415588,0.0,0.635678391959799,0.7921661041484145,0.5778894472361809
1297,0,0.4170854120825997,0.0,0.3869346733668342,0.3240539736224153,0.18592964824120603
2649,3,0.46616153211408645,0.0,0.8115577889447236,0.513569317060673,0.5778894472361809
2096,2,0.20120659710363295,0.0,0.8115577889447236,0.2661429087299216,0.31658291457286436
346,3,0.818698225368615,0.0,0.8115577889447236,0.8112007219355926,0.5778894472361809
103,5,0.21175612350224002,0.0,0.31658291457286436,0.0651474039878521,0.06532663316582915
2751,3,0.7173416964573285,0.0,0.6783919597989949,0.7338650534720221,0.7914572864321608
767,3,0.6669923031875229,0.0,0.9623115577889447,0.6740816216206055,0.5778894472361809
2088,3,0.32212522815941486,0.0,0.2361809045226131,0.40417115521437036,0.5778894472361809
2113,3,0.4288019272356355,0.0,0.8115577889447236,0.479541742471665,0.5778894472361809
61,5,0.8341708542713568,1.0,0.8115577889447236,0.8788900858069348,0.8542713567839196
1752,3,0.9261064398047962,0.0,0.8115577889447236,0.8892566161331287,0.5778894472361809
1504,5,0.37509648988555905,0.0,0.31658291457286436,0.11796950175419656,0.06532663316582915
2847,3,0.5921792621785239,0.0,0.542713567839196,0.6068045792920965,0.5778894472361809
95,5,0.5790634552501088,1.0,0.8115577889447236,0.8426636710557204,0.9447236180904522
1175,5,0.512563623446096,0.0,0.3438653252878794,0.4271402824689305,0.21608040201005024
4018,3,0.0889522876176842,0.0,0.032663316582914576,0.19713066389326248,0.5778894472361809
2619,3,0.582544818744165,0.0,0.8115577889447236,0.5997367251309932,0.5778894472361809
3290,4,0.8643721678074041,0.0,0.10546915451981927,0.868136919831452,0.8165829145728642
3001,2,0.452228783260564,0.0,0.8115577889447236,0.4591868105403341,0.31658291457286436
2072,2,0.28066340162358655,0.0,0.542713567839196,0.27900492712139335,0.2512562814070352
3371,2,0.05032282467495809,0.0,0.44472361809045224,0.10549661900101721,0.2512562814070352
1862,3,0.19092343379367616,0.0,0.1556275659787139,0.28774520015080585,0.5778894472361809
1699,3,0.7513485829631079,0.0,0.542713567839196,0.7562437556020888,0.5778894472361809
3945,3,0.2677137131282434,0.0,0.542713567839196,0.35178561495036237,0.5778894472361809
2161,5,0.6510068383020384,0.0,0.542713567839196,0.568671777537077,0.28391959798994976
3293,4,0.22934278021302915,0.0,0.10546915451981927,0.3488406958208007,0.8165829145728642
3236,5,0.8190997320801005,0.0,0.06873044956603544,0.5692045234986982,0.15577889447236182
2863,2,0.08782223647735704,0.0,0.542713567839196,0.14819577437270437,0.2512562814070352
3848,3,0.30930197756881067,0.0,0.18592964824120603,0.4920758473650212,0.8844221105527639
3490,0,0.042627985454660434,0.0,0.4640991518859118,0.048363808298476,0.12060301507537688
3983,3,0.5555805958146585,0.0,0.542713567839196,0.5840681762928053,0.5778894472361809
717,5,0.6989062065073062,1.0,0.99436956072632,0.7839466604902386,0.8542713567839196
2683,3,0.3121183676193611,0.0,0.3693467336683417,0.38026185101552307,0.5778894472361809
1619,3,0.7601396173642861,0.0,0.8115577889447236,0.7639717732859186,0.5778894472361809
398,3,0.8708590595293425,0.0,0.542713567839196,0.8508357512321164,0.5778894472361809
1052,3,0.14070352343224396,0.0,0.635678391959799,0.25907720006106283,0.5778894472361809
2422,5,0.407055913504447,0.0,0.07095477386934673,0.5324499153027115,0.8542713567839196
1600,3,0.7556993621421633,0.0,0.8115577889447236,0.734832714093547,0.3592964824120603
1122,5,0.2699231380667922,0.0,0.2889447236180904,0.1908978880327203,0.1658291457286432
2294,3,0.6416717799168669,0.0,0.542713567839196,0.6530123647398196,0.5778894472361809
2939,2,0.23346287981181643,0.0,0.542713567839196,0.2400711026117073,0.2512562814070352
2087,3,0.9149519252646265,0.0,0.6783919597989949,0.8765867985500783,0.5778894472361809
1923,3,0.5968125709929069,0.0,0.542713567839196,0.6117455212423549,0.5778894472361809
2482,5,0.6773423347930138,1.0,0.8115577889447236,0.851919335034584,0.9221105527638191
3283,5,0.7007026034477815,0.0,0.2769369978572425,0.4792634189391038,0.15577889447236182
1074,3,0.803243735024865,0.0,0.8115577889447236,0.7953174176950054,0.5778894472361809
3277,5,0.6374169062296992,0.0,0.2626633165829146,0.21175731688566032,0.0
1816,5,0.44555423279677925,0.0,0.31658291457286436,0.1389768776402848,0.06532663316582915
2452,3,0.11367645028490776,0.0,0.2142794827311159,0.22322153432514794,0.5778894472361809
652,3,0.33339646113318894,0.0,0.635678391959799,0.4115080556629773,0.5778894472361809
3835,0,0.20566468248473335,0.0,0.11374062128754411,0.1370368949346371,0.12060301507537688
43,3,0.9177187943514553,0.0,0.8115577889447236,0.8768687222736802,0.5778894472361809
2629,3,0.7355526007796341,0.0,0.4020100502512563,0.7429619868417643,0.5778894472361809
1980,5,0.9779203381328829,1.0,0.8115577889447236,0.9795947804934529,0.9481855369826381
1100,5,0.24208813733605747,1.0,0.8115577889447236,0.6167833603235533,1.0
2264,0,0.1696238493560509,0.0,0.4710552763819095,0.15917603098700656,0.18592964824120603
2568,3,0.7507242030788257,0.0,0.8115577889447236,0.7555052799311028,0.5778894472361809
916,5,0.32889248169728447,0.0,0.31658291457286436,0.09499914024422496,0.06532663316582915
2647,3,0.5635800773502322,0.0,0.8115577889447236,0.5904605813197363,0.5778894472361809
3856,3,0.30949873474377787,0.0,0.18592964824120603,0.49224942712190745,0.8844221105527639
732,3,0.6470627727663879,0.0,0.6783919597989949,0.6520838763683402,0.5778894472361809
3133,3,0.18928045366311086,0.0,0.16080402010050251,0.2868197964844691,0.5778894472361809
739,3,0.5104651617919036,0.0,0.9623115577889447,0.5504809311947424,0.5778894472361809
2285,2,0.06028077997038152,0.0,0.029269152781451115,0.1490464050921569,0.31658291457286436
1644,3,0.8788094417203014,0.0,0.4748743718592965,0.8541797197771808,0.5778894472361809
128,5,0.9951820135793525,1.0,0.8115577889447236,0.9970616145930001,1.0
406,5,0.9044620690591635,1.0,0.8115577889447236,0.9035179206192798,0.8542713567839196
3560,5,0.23145434353842226,0.0,0.05778894472361809,0.06321729056583013,0.0
