Area,Structural,Type,Unconnected_Height,Volume,Assembly_Code,Width,AcousticRating,FireRating
41.15895,1,KON_Ydervæg Sandwichelementvæg_540 mm_70-175-295,3873,20.5560219,211,540,,
35.41524,1,KON_Ydervæg Sandwichelementvæg_540 mm_70-175-295,3873,17.74957007,211,540,,
78.50244907,1,KON_Ydervæg Sandwichelementvæg_540 mm_70-175-295,4533,42.27578159,211,540,,
38.40825,1,KON_Ydervæg Sandwichelementvæg_540 mm_70-275-195,4533,20.65657137,211,540,,
142.13517,1,KON_Ydervæg Sandwichelementvæg_540 mm_70-275-195,4533,76.55129755,211,540,,
99.61227533,1,KON_Ydervæg Sandwichelementvæg_540 mm_70-275-195,4533,53.50073304,211,540,,
46.3878,1,KON_Ydervæg Sandwichelementvæg_540 mm_70-275-195,4383,24.3127486,211,540,,
12.6819,1,KON_Ydervæg Sandwichelementvæg_540 mm_70-275-195,915,5.319828,211,540,,
116.25048,1,KON_Ydervæg Sandwichelementvæg_540 mm_70-275-195,4533,62.23534238,211,540,,
118.1575988,0,KON_Gitterkonstruktion_200 mm,3190,23.62673475,11,200,,
47.21478,1,KON_Ydervæg Sandwichelementvæg_540 mm_70-275-195,4383,23.8675108,211,540,,
94.31392179,0,KON_Gitterkonstruktion_200 mm,3190,18.86278436,11,200,,
30.98450004,0,222.002_Gipsskillevæg_145 mm,3983,4.389899004,224,145,44 dB,"EI 60 A2-s1,d0"
15.69035,0,KON_Væg Indervæg_Beton_200 mm,3983,3.13807,221,200,,
28.10006504,0,222.002_Gipsskillevæg_145 mm,4533,4.07450943,224,145,44 dB,"EI 60 A2-s1,d0"
28.10006504,0,222.002_Gipsskillevæg_145 mm,4533,4.07450943,224,145,44 dB,"EI 60 A2-s1,d0"
28.10006504,0,222.001_Gipsskillevæg_145 mm,4533,4.07450943,224,145,48 dB,"EI 60 A2-s1,d0"
28.10006504,0,222.001_Gipsskillevæg_145 mm,4533,3.951086214,224,145,48 dB,"EI 60 A2-s1,d0"
28.67760004,1,KON_Væg Indervæg_Beton_200 mm,4533,5.735520008,221,200,,
13.116525,0,222.002_Gipsskillevæg_145 mm,3350,1.901896125,224,145,44 dB,"EI 60 A2-s1,d0"
11.33584,0,222.002_Gipsskillevæg_145 mm,3983,1.5953128,224,145,44 dB,"EI 60 A2-s1,d0"
8.0125,0,222.300_Glassystemvæg_20 mm,2500,0.16025,226,20,,
7.8166375,0,222.110_Forsatsvæg_135 mm,3983,1.035704469,224,132.5,36 dB,"EI 60 A2-s1,d0"
11.092655,0,222.002_Gipsskillevæg_145 mm,4533,1.608434975,224,145,44 dB,"EI 60 A2-s1,d0"
19.69432563,0,222.001_Gipsskillevæg_145 mm,4533,2.855677217,224,145,48 dB,"EI 60 A2-s1,d0"
19.69432563,0,222.001_Gipsskillevæg_145 mm,4533,2.855677217,224,145,48 dB,"EI 60 A2-s1,d0"
19.69432563,0,222.001_Gipsskillevæg_145 mm,4533,2.855677217,224,145,48 dB,"EI 60 A2-s1,d0"
19.69432563,0,222.001_Gipsskillevæg_145 mm,4533,2.855677217,224,145,48 dB,"EI 60 A2-s1,d0"
7.268975,0,222.112_Forsatsvæg_95 mm,4533,0.690552625,224,95,32 dB,"EI 30 A2-s1,d0"
2.85175,0,222.002_Gipsskillevæg_145 mm,3350,0.41350375,224,145,44 dB,"EI 60 A2-s1,d0"
46.45293,1,KON_Ydervæg Sandwichelementvæg_540 mm_70-275-195,4533,26.4795976,211,540,,
53.16435,1,KON_Ydervæg Sandwichelementvæg_540 mm_70-275-195,4533,29.33665833,211,540,,
38.50053,1,KON_Ydervæg Sandwichelementvæg_540 mm_70-275-195,4533,22.46965513,211,540,,
18.93935375,0,222.001_Gipsskillevæg_145 mm,3983,2.746206293,224,145,48 dB,"EI 60 A2-s1,d0"
18.93935375,0,222.001_Gipsskillevæg_145 mm,3983,2.746206293,224,145,48 dB,"EI 60 A2-s1,d0"
19.38305375,0,222.001_Gipsskillevæg_145 mm,3983,2.810542793,224,145,48 dB,"EI 60 A2-s1,d0"
18.93935375,0,222.002_Gipsskillevæg_145 mm,3983,2.746206293,224,145,44 dB,"EI 60 A2-s1,d0"
18.93935375,0,222.002_Gipsskillevæg_145 mm,3983,2.746206293,224,145,44 dB,"EI 60 A2-s1,d0"
18.93935375,0,222.002_Gipsskillevæg_145 mm,3983,2.746206293,224,145,44 dB,"EI 60 A2-s1,d0"
4.359775631,0,222.002_Gipsskillevæg_145 mm,4533,0.632167467,224,145,44 dB,"EI 60 A2-s1,d0"
45.61983,1,KON_Væg Indervæg_Beton_200 mm,4683,9.123966,221,200,,
9.47954,0,222.001_Gipsskillevæg_145 mm,4533,1.3745333,224,145,48 dB,"EI 60 A2-s1,d0"
46.95585,1,KON_Væg Indervæg_Beton_200 mm,4683,9.39117,221,200,,
21.5082,0,222.005_Gipsskillevæg Blyækvivalent_145 mm,4533,3.118689,224,145,54 dB,"EI 60 A2-s1,d0"
21.5082,0,222.001_Gipsskillevæg_145 mm,4533,3.118689,224,145,48 dB,"EI 60 A2-s1,d0"
21.5082,0,222.001_Gipsskillevæg_145 mm,4533,3.118689,224,145,48 dB,"EI 60 A2-s1,d0"
7.189315,0,222.002_Gipsskillevæg_145 mm,4533,1.042450675,224,145,44 dB,"EI 60 A2-s1,d0"
13.9106275,0,222.110_Forsatsvæg_135 mm,3983,1.843158144,224,132.5,36 dB,"EI 60 A2-s1,d0"
14.438375,0,222.110_Forsatsvæg_135 mm,3983,1.913084688,224,132.5,36 dB,"EI 60 A2-s1,d0"
11.94984,0,222.002_Gipsskillevæg_145 mm,4533,1.7327268,224,145,44 dB,"EI 60 A2-s1,d0"
14.438375,0,222.002_Gipsskillevæg_145 mm,4533,2.093564375,224,145,44 dB,"EI 60 A2-s1,d0"
11.41035,0,222.002_Gipsskillevæg_145 mm,4533,1.65450075,224,145,44 dB,"EI 60 A2-s1,d0"
6.61178,0,222.002_Gipsskillevæg_145 mm,4533,0.9587081,224,145,44 dB,"EI 60 A2-s1,d0"
27.07115,1,KON_Væg Indervæg_Beton_400 mm,4133,10.82846,221,400,,
26.62251017,1,KON_Indervæg Sandwichelementvæg_370 mm_70-300,4133,11.45305747,221,370,,
11.7075,1,KON_Væg Indervæg_Beton_200 mm,4683,2.3415,221,200,,
17.57175,1,KON_Væg Indervæg_Beton_200 mm,4683,3.51435,221,200,,
8.38605,1,KON_Væg Indervæg_Beton_200 mm,4533,1.67721,221,200,,
7.1256,1,KON_Væg Indervæg_Beton_200 mm,4533,1.393599,221,200,,
8.612700371,1,KON_Væg Indervæg_Beton_150 mm,4533,1.291905056,221,150,,
8.612700371,1,KON_Væg Indervæg_Beton_150 mm,4533,1.291905056,221,150,,
58.29437907,1,KON_Væg Indervæg_Beton_300 mm,4533,17.48831372,221,300,,
51.40522907,1,KON_Væg Indervæg_Beton_250 mm,4533,12.75674427,221,250,,
1.133250328,1,KON_Væg Indervæg_Beton_350 mm,4533,0.396637615,221,350,,
33.54420037,1,KON_Væg Indervæg_Beton_400 mm,4533,13.41768015,221,400,,
52.28450907,1,KON_Væg Indervæg_Beton_250 mm,4533,13.07112727,221,250,,
25.87958004,1,KON_Væg Indervæg_Beton_250 mm,4528,6.469895011,221,250,,
28.24059,1,KON_Væg Indervæg_Beton_300 mm,4533,8.472177,221,300,,
26.11958907,1,KON_Væg Indervæg_Beton_300 mm,4533,7.835876721,221,300,,
6.3230125,0,222.002_Gipsskillevæg_145 mm,4533,0.916836812,224,145,44 dB,"EI 60 A2-s1,d0"
11.3714647,0,222.002_Gipsskillevæg_145 mm,4533,1.648862382,224,145,44 dB,"EI 60 A2-s1,d0"
14.30485,0,222.014_Gipsskillevæg_145 mm,2660,2.07420325,224,145,56 dB,"EI 60 A2-s1,d0"
24.08710944,0,222.014_Gipsskillevæg_145 mm,4533,3.492630867,224,145,56 dB,"EI 60 A2-s1,d0"
4.28172474,0,222.008_Gipsskillevæg Vådrum Ensidig_145 mm,4533,0.620850087,224,145,44 dB,"EI 60 A2-s1,d0"
9.222761847,0,222.008_Gipsskillevæg Vådrum Ensidig_145 mm,4533,1.337300468,224,145,44 dB,"EI 60 A2-s1,d0"
5.886946847,0,222.008_Gipsskillevæg Vådrum Ensidig_145 mm,4533,0.853607293,224,145,44 dB,"EI 60 A2-s1,d0"
7.101761847,0,222.008_Gipsskillevæg Vådrum Ensidig_145 mm,4533,1.029755468,224,145,44 dB,"EI 60 A2-s1,d0"
9.222761847,0,222.008_Gipsskillevæg Vådrum Ensidig_145 mm,4533,1.337300468,224,145,44 dB,"EI 60 A2-s1,d0"
6.552035,0,222.009_Gipsskillevæg_145 mm,4533,0.950045075,224,145,54 dB,"EI 60 A2-s1,d0"
6.97025,0,222.003_Gipsskillevæg_170 mm,4533,1.1849425,224,170,48 dB,"EI 60 A2-s1,d0"
8.84226,0,222.002_Gipsskillevæg_145 mm,4533,1.2821277,224,145,44 dB,"EI 60 A2-s1,d0"
1.05,0,222.300_Glassystemvæg_20 mm,2500,0.021,226,20,,
53.918475,1,KON_Ydervæg Sandwichelementvæg_540 mm_70-275-195,4533,28.92360357,211,540,,
48.18423,1,KON_Ydervæg Sandwichelementvæg_540 mm_70-275-195,4533,25.82770693,211,540,,
47.38585537,1,KON_Ydervæg Sandwichelementvæg_540 mm_70-275-195,4533,25.35715847,211,540,,
5.764875446,0,222.002_Gipsskillevæg_145 mm,4533,0.676985223,224,145,44 dB,"EI 60 A2-s1,d0"
15.553615,0,222.002_Gipsskillevæg_145 mm,4533,2.255274175,224,145,44 dB,"EI 60 A2-s1,d0"
16.748515,0,222.001_Gipsskillevæg_145 mm,4533,2.428534675,224,145,48 dB,"EI 60 A2-s1,d0"
15.752765,1,KON_Væg Indervæg_Beton_300 mm,4533,4.7258295,221,300,,
